"","Country/Territory","Region","Edition","Status","CL rating","indp_media","Religous_Freedom","academic_freedom","personal_views","freedom_assembly","freedom_nongovernmental_organizations","freedom_tradeunions","E","Freedom_movement","Right_own_property","Personal_social_freedoms","CL"
"1","Bahrain","Middle East","2023","Not Free","6","0","1","0","1","0","0","1","1","1","2","2","10"
"2","Gaza Strip","Middle East","2023","Not Free","6","0","1","1","2","0","1","1","2","0","1","1","8"
"3","Iran","Middle East","2023","Not Free","6","0","0","1","0","0","0","1","1","1","1","1","8"
"4","Iraq","Middle East","2023","Not Free","6","1","1","1","1","0","2","2","4","1","1","1","13"
"5","Israel","Middle East","2023","Free","3","3","3","3","3","3","2","4","9","3","3","3","43"
"6","Jordan","Middle East","2023","Not Free","5","1","2","2","2","0","1","0","1","2","2","2","22"
"7","Kuwait","Middle East","2023","Partly Free","5","1","2","2","1","1","2","1","4","2","1","2","23"
"8","Lebanon","Middle East","2023","Partly Free","4","2","3","3","2","3","3","2","8","1","2","2","29"
"9","Oman","Middle East","2023","Not Free","5","1","2","1","1","1","1","2","4","1","2","1","18"
"10","Qatar","Middle East","2023","Not Free","5","1","2","2","2","1","0","1","2","1","1","1","18"
"11","Saudi Arabia","Middle East","2023","Not Free","7","0","0","1","1","0","0","0","0","0","1","0","7"
"12","Syria","Middle East","2023","Not Free","7","0","2","0","1","0","0","0","0","0","0","1","4"
"13","United Arab Emirates","Middle East","2023","Not Free","6","0","2","1","1","1","0","1","2","1","1","1","13"
"14","West Bank","Middle East","2023","Not Free","5","1","2","2","1","1","1","2","4","1","1","2","18"
"15","Yemen","Middle East","2023","Not Free","6","0","1","0","1","1","1","1","3","0","1","1","8"
"16","Bahrain","Middle East","2022","Not Free","6","0","1","0","1","0","0","1","1","1","2","2","10"
"17","Gaza Strip","Middle East","2022","Not Free","6","0","1","1","2","0","1","1","2","0","1","1","8"
"18","Iran","Middle East","2022","Not Free","6","0","0","1","1","0","0","1","1","1","1","1","10"
"19","Iraq","Middle East","2022","Not Free","6","1","1","1","1","0","2","2","4","1","1","1","13"
"20","Israel","Middle East","2022","Free","3","3","3","3","3","2","2","4","8","3","3","3","42"
"21","Jordan","Middle East","2022","Not Free","5","1","2","2","2","0","1","0","1","2","2","2","22"
"22","Kuwait","Middle East","2022","Partly Free","5","1","2","2","1","1","2","1","4","2","1","2","23"
"23","Lebanon","Middle East","2022","Partly Free","4","2","3","3","2","3","3","2","8","1","2","2","29"
"24","Oman","Middle East","2022","Not Free","5","1","2","1","1","1","1","2","4","1","2","1","18"
"25","Qatar","Middle East","2022","Not Free","5","1","2","2","2","1","0","1","2","1","1","1","18"
"26","Saudi Arabia","Middle East","2022","Not Free","7","0","0","1","1","0","0","0","0","0","1","0","6"
